"dt","orders","buyers","item_gmv","paid_gmv","aov","avg_delivery_days","ontime_rate","bad_review_rate"
"2017-05-19",140,135,20476.48,20483.89,146.260571,10.1429,0.9786,0.0786
"2017-05-20",70,70,12230.23,12239.93,174.717571,9.9143,0.9714,0.1000
"2017-05-21",145,141,20063.30,20063.30,138.367586,9.0138,0.9793,0.0759
"2017-05-22",145,142,27312.02,27312.02,188.358759,9.0690,0.9793,0.1172
"2017-05-23",120,120,19913.85,19919.26,165.948750,9.2667,0.9583,0.0917
"2017-05-24",140,137,26523.73,26552.81,189.455214,10.1143,0.9500,0.0571
"2017-05-25",103,102,17383.91,17383.91,168.775825,11.3333,0.9608,0.0874
"2017-05-26",77,76,12246.38,12246.38,159.043896,11.0519,0.9740,0.1299
"2017-05-27",77,76,15158.26,15158.26,196.860519,10.2727,0.9740,0.0390
"2017-05-28",98,98,11107.24,11120.71,113.339184,9.3061,0.9796,0.0408
"2017-05-29",151,150,20620.45,20620.45,136.559272,9.3576,0.9801,0.1258
"2017-05-30",98,98,15732.56,15732.56,160.536327,10.5918,0.9694,0.0714
"2017-05-31",118,118,21941.91,21941.91,185.948390,11.4492,0.9746,0.0847
"2017-06-01",123,121,21730.33,21749.38,176.669350,10.7317,0.9756,0.1707
"2017-06-02",123,121,21013.76,21013.76,170.843577,11.6016,0.9593,0.0894
"2017-06-03",88,88,12232.84,12232.84,139.009545,13.7614,0.9545,0.1250
"2017-06-04",99,98,15701.85,15701.85,158.604545,11.5354,0.9697,0.0707
"2017-06-05",142,140,25970.02,25970.01,182.887465,10.5563,0.9648,0.1197
"2017-06-06",128,124,16124.16,16125.71,125.970000,10.7500,0.9766,0.0859
"2017-06-07",122,121,15102.21,15102.21,123.788607,12.5328,0.9508,0.1066
"2017-06-08",134,131,21913.61,21919.44,163.534403,12.1269,0.9776,0.0970
"2017-06-09",105,103,18443.48,18447.99,175.652190,11.4667,0.9905,0.1238
"2017-06-10",72,71,9467.00,9467.00,131.486111,11.5278,1.0000,0.1250
"2017-06-11",111,108,16386.88,16397.40,147.629550,12.0360,0.9550,0.0991
"2017-06-12",121,121,16716.10,16726.27,138.149587,12.8017,0.9174,0.0992
"2017-06-13",121,121,16285.23,16307.27,134.588678,11.4711,0.9752,0.0909
"2017-06-14",128,124,23184.15,23217.67,181.126172,12.9063,0.9297,0.1328
"2017-06-15",103,99,14140.56,14140.56,137.286990,13.5825,0.9515,0.1359
"2017-06-16",94,93,14547.83,14547.83,154.764149,12.5213,0.9362,0.0957
"2017-06-17",72,71,12474.05,12474.05,173.250694,11.2361,0.9583,0.1250
"2017-06-18",87,85,17556.37,17556.37,201.797356,10.3793,0.9885,0.0575
"2017-06-19",152,148,25319.01,25319.01,166.572434,10.8487,0.9474,0.1184
"2017-06-20",90,90,13653.90,13653.90,151.710000,9.7778,0.9667,0.1444
"2017-06-21",34,34,7196.18,7199.70,211.652353,8.9706,0.9412,0.0588
"2017-06-22",83,82,10159.55,10159.55,122.404217,11.5181,0.9398,0.1325
"2017-06-23",103,102,15044.51,15044.51,146.063204,11.1845,1.0000,0.0485
"2017-06-24",74,73,9781.50,9781.50,132.182432,13.0270,0.9189,0.1081
"2017-06-25",99,96,19861.19,19861.19,200.618081,9.7576,0.9798,0.0808
"2017-06-26",67,65,14631.39,14631.39,218.378955,11.2836,0.9403,0.1045
"2017-06-27",140,140,19575.96,19609.72,139.828286,9.8286,0.9786,0.1071
"2017-06-28",117,117,16811.26,16840.29,143.685983,11.1966,0.9573,0.1026
"2017-06-29",110,108,14275.04,14276.78,129.773091,10.9545,0.9636,0.0909
"2017-06-30",93,93,14750.45,14750.45,158.606989,12.6559,0.9570,0.0753
"2017-07-01",77,77,13357.44,13357.44,173.473247,12.5714,0.9870,0.1429
"2017-07-02",102,101,13329.83,13372.33,130.684608,10.2353,0.9706,0.1275
"2017-07-03",111,110,17704.27,17715.56,159.497928,11.0541,0.9730,0.0721
"2017-07-04",120,118,17626.42,17626.42,146.886833,11.0833,0.9167,0.1250
"2017-07-05",138,135,23844.87,23844.87,172.788913,11.4565,0.9638,0.1304
"2017-07-06",140,138,24168.19,24168.19,172.629929,12.0214,0.9714,0.0429
"2017-07-07",114,114,15647.80,15647.80,137.261404,11.8421,0.9825,0.0351
"2017-07-08",83,82,11897.07,11897.07,143.338193,11.0241,1.0000,0.0241
"2017-07-09",88,88,9915.73,9915.73,112.678750,10.8409,0.9659,0.1364
"2017-07-10",140,137,20397.34,20397.34,145.695286,11.8286,0.9429,0.0786
"2017-07-11",158,157,22602.06,22602.06,143.051013,10.7911,0.9684,0.0696
"2017-07-12",145,145,21757.95,21775.74,150.054828,11.5862,0.9586,0.1310
"2017-07-13",131,129,17675.37,17675.37,134.926489,12.6107,0.9618,0.0916
"2017-07-14",148,146,21665.78,21665.78,146.390405,12.1419,0.9932,0.0946
"2017-07-15",97,97,13070.38,13070.37,134.746186,12.2474,0.9691,0.0722
"2017-07-16",107,107,15085.01,15084.95,140.981402,12.0000,0.9346,0.1308
"2017-07-17",162,159,25133.74,25134.75,155.146543,10.2160,0.9568,0.1173
"2017-07-18",188,185,31844.61,31860.71,169.386223,10.9734,0.9468,0.1383
"2017-07-19",148,145,19302.12,19302.12,130.419730,10.7095,0.9797,0.1081
"2017-07-20",139,139,21031.58,21031.58,151.306331,11.2590,0.9712,0.0791
"2017-07-21",112,109,14917.54,14917.53,133.192321,11.5536,0.9643,0.1250
"2017-07-22",87,84,13279.20,13279.20,152.634483,12.1034,0.9770,0.0805
"2017-07-23",101,100,13682.85,13682.85,135.473762,9.4752,0.9901,0.0990
"2017-07-24",157,154,21300.63,21300.63,135.672803,10.6497,0.9490,0.0892
"2017-07-25",145,143,19767.31,19767.31,136.326276,10.4759,0.9586,0.1241
"2017-07-26",117,114,13352.49,13352.49,114.123846,10.4872,0.9744,0.0427
"2017-07-27",121,120,18440.83,18440.82,152.403554,11.6033,0.9669,0.0826
"2017-07-28",130,127,22607.76,22607.76,173.905846,11.6000,0.9769,0.0923
"2017-07-29",109,107,17426.58,17426.58,159.876881,11.3578,0.9541,0.1560
"2017-07-30",114,113,14388.60,14388.61,126.215789,9.1140,0.9912,0.1053
"2017-07-31",143,139,20077.73,20093.97,140.403706,9.1399,0.9580,0.0839
"2017-08-01",161,160,24807.85,24811.88,154.086025,10.8137,0.9565,0.1180
"2017-08-02",149,149,20673.82,20673.81,138.750470,9.3289,0.9732,0.1745
"2017-08-03",144,143,21257.46,21257.46,147.621250,10.1528,0.9722,0.0556
"2017-08-04",139,136,21112.70,21112.70,151.889928,12.0576,0.9712,0.0791
"2017-08-05",113,111,14282.71,14282.71,126.395664,11.9027,0.9823,0.0885
"2017-08-06",105,104,15305.72,15305.72,145.768762,12.0476,0.9524,0.1333
"2017-08-07",157,155,26629.34,26629.34,169.613631,10.1146,0.9618,0.1019
"2017-08-08",146,145,21527.55,21541.13,147.448973,10.4178,0.9521,0.0822
"2017-08-09",140,140,23298.08,23298.08,166.414857,10.1071,0.9857,0.1071
"2017-08-10",154,150,23196.09,23196.09,150.623961,11.9221,0.9610,0.1039
"2017-08-11",133,130,22059.17,22067.71,165.858421,11.0977,0.9774,0.0526
"2017-08-12",91,89,14433.46,14433.45,158.609451,10.8681,0.9670,0.0659
"2017-08-13",90,90,14373.59,14373.59,159.706556,9.6667,0.9778,0.0667
"2017-08-14",153,150,21243.99,21245.89,138.849608,9.3137,0.9804,0.0784
"2017-08-15",186,183,26883.57,26883.56,144.535323,11.7204,0.9731,0.0914
"2017-08-16",166,162,24353.54,24367.86,146.708072,10.8193,0.9458,0.0843
"2017-08-17",153,151,21116.33,21116.33,138.015229,11.6144,0.9542,0.1111
"2017-08-18",141,140,19514.79,19514.79,138.402766,10.9291,0.9716,0.1135
"2017-08-19",106,106,15017.00,15031.02,141.669811,10.8585,0.9811,0.0943
"2017-08-20",103,102,14955.17,14955.17,145.195825,9.5728,0.9903,0.0971
"2017-08-21",172,170,25168.01,25168.01,146.325640,9.7209,0.9709,0.0814
"2017-08-22",135,131,19680.58,19680.58,145.782074,10.0963,0.9778,0.0889
"2017-08-23",111,109,18593.79,18593.79,167.511622,10.2793,0.9730,0.1261
"2017-08-24",123,121,15702.29,15814.19,127.660894,11.3008,0.9675,0.0732
"2017-08-25",117,113,16589.62,16589.62,141.791624,12.9658,0.9402,0.1111
"2017-08-26",89,89,11658.23,11658.23,130.991348,10.3933,0.9775,0.0899
"2017-08-27",115,113,15414.31,15414.30,134.037478,9.6522,0.9826,0.1043
"2017-08-28",150,145,24637.72,24637.72,164.251467,9.4200,0.9600,0.0600
"2017-08-29",135,134,36458.69,36458.70,270.064370,11.2519,0.9333,0.0741
"2017-08-30",173,168,33063.14,33063.14,191.116416,10.6936,0.9769,0.0751
"2017-08-31",143,142,22824.05,22824.04,159.608741,10.7552,0.9441,0.0979
"2017-09-01",153,150,31762.64,31797.13,207.598954,12.3137,0.9477,0.1242
"2017-09-02",102,100,20215.96,20215.96,198.195686,10.9608,0.9902,0.0294
"2017-09-03",123,123,30749.18,30749.17,249.993333,9.9512,0.9837,0.0569
"2017-09-04",147,143,28186.68,28186.68,191.746122,11.7279,0.9524,0.1156
"2017-09-05",151,151,24058.06,24058.05,159.324901,10.9603,0.9801,0.1192
"2017-09-06",138,137,28254.37,28254.37,204.741812,13.2174,0.9203,0.1304
"2017-09-07",97,96,19096.76,19096.76,196.873814,11.1959,0.9588,0.0619
"2017-09-08",111,109,14052.14,14069.01,126.595856,12.2252,0.9459,0.0991
"2017-09-09",103,100,17080.58,17086.05,165.830874,10.7961,0.9709,0.1165
"2017-09-10",132,131,20041.51,20041.51,151.829621,10.2500,0.9242,0.0758
"2017-09-11",176,176,26817.75,26817.75,152.373580,9.5455,0.9489,0.0909
"2017-09-12",200,196,31485.63,31485.63,157.428150,11.8750,0.9050,0.1350
"2017-09-13",203,201,31513.57,31513.56,155.239261,11.5714,0.9113,0.1133
"2017-09-14",163,162,26057.64,26057.64,159.862822,11.7239,0.9202,0.1227
"2017-09-15",144,143,21050.71,21050.70,146.185486,12.2292,0.9375,0.0972
"2017-09-16",125,124,21758.71,21758.71,174.069680,12.4320,0.9040,0.1120
"2017-09-17",125,123,22826.04,22826.04,182.608320,11.8320,0.9280,0.1280
"2017-09-18",179,177,31138.01,31137.99,173.955363,11.1061,0.8827,0.1564
"2017-09-19",149,147,22906.86,22906.86,153.737315,11.4564,0.9060,0.1074
"2017-09-20",158,157,25690.71,25726.43,162.599430,10.9684,0.9557,0.0886
"2017-09-21",144,144,21483.11,21483.11,149.188264,12.2847,0.9792,0.1250
"2017-09-22",133,130,18108.13,18108.13,136.151353,11.3835,0.9774,0.0827
"2017-09-23",81,80,11530.58,11530.58,142.352840,11.8519,1.0000,0.0741
"2017-09-24",112,108,15371.22,15371.22,137.243036,11.1339,0.9821,0.0982
"2017-09-25",129,129,20365.15,20365.15,157.869380,10.5271,0.9922,0.0698
"2017-09-26",174,173,24567.69,24567.70,141.193621,10.8966,0.9598,0.0575
"2017-09-27",144,142,24083.23,24083.23,167.244653,11.2917,0.9792,0.0833
"2017-09-28",140,140,26042.47,26042.47,186.017643,11.0500,0.9786,0.0786
"2017-09-29",109,108,31075.78,31075.78,285.098899,12.4037,0.9541,0.0826
"2017-09-30",105,105,13706.62,13706.62,130.539238,11.1429,0.9714,0.1333
"2017-10-01",124,122,21048.67,21048.67,169.747339,11.5565,0.9758,0.1048
"2017-10-02",140,140,24937.45,24937.45,178.124643,10.5571,0.9857,0.1143
"2017-10-03",193,190,29647.50,29647.50,153.613990,10.9119,0.9689,0.1088
"2017-10-04",156,154,24518.81,24518.81,157.171859,11.6731,0.9936,0.0641
"2017-10-05",138,138,28373.15,28373.15,205.602536,12.3406,0.9493,0.1739
"2017-10-06",124,122,19876.14,19876.13,160.291452,14.0484,0.9113,0.1613
"2017-10-07",100,99,17222.98,17222.96,172.229800,13.3500,0.9400,0.1200
"2017-10-08",124,122,19424.09,19424.09,156.645887,10.4113,0.9839,0.0726
"2017-10-09",187,185,33381.74,33381.74,178.511979,11.8877,0.9251,0.1230
"2017-10-10",175,174,31450.93,31450.93,179.719600,11.8857,0.9200,0.1086
"2017-10-11",151,147,21848.66,21848.65,144.693113,11.1921,0.9536,0.1192
"2017-10-12",136,135,21724.54,21724.54,159.739265,12.4265,0.9632,0.1250
"2017-10-13",150,149,25706.51,25707.80,171.376733,12.7267,0.9267,0.0933
"2017-10-14",114,114,15715.40,15715.40,137.854386,10.8947,0.9561,0.0702
"2017-10-15",117,117,21097.05,21097.05,180.316667,9.8803,0.9573,0.1282
"2017-10-16",188,188,34432.31,34435.34,183.150585,11.0851,0.9309,0.1277
"2017-10-17",195,192,34316.96,34316.96,175.984410,11.6051,0.9026,0.0923
"2017-10-18",176,174,31501.86,31501.88,178.987841,10.5625,0.9659,0.1136
"2017-10-19",172,169,26785.55,26785.55,155.729942,11.3314,0.9535,0.1453
"2017-10-20",118,118,21436.40,21436.40,181.664407,11.7542,0.9576,0.1102
"2017-10-21",104,103,16798.55,16798.55,161.524519,10.6538,0.9712,0.1058
"2017-10-22",152,149,22539.73,22539.73,148.287697,10.8158,0.9408,0.1447
"2017-10-23",152,152,25126.53,25132.41,165.306118,10.5592,0.9605,0.0987
"2017-10-24",162,161,25676.45,25677.06,158.496605,10.4506,0.9383,0.0556
"2017-10-25",152,149,20594.98,20594.98,135.493289,11.4868,0.9737,0.0789
"2017-10-26",140,139,24937.54,24937.53,178.125286,11.0286,0.9429,0.1071
"2017-10-27",130,130,23077.41,23083.02,177.518538,12.6154,0.9231,0.1077
"2017-10-28",85,82,18741.90,18741.90,220.492941,12.4000,0.9765,0.0824
"2017-10-29",129,126,20048.32,20055.17,155.413333,10.4729,0.9535,0.1163
"2017-10-30",138,138,22367.97,22367.93,162.086739,10.8188,0.8768,0.1014
"2017-10-31",156,155,26760.93,26760.99,171.544423,11.5769,0.9231,0.1090
"2017-11-01",108,107,22029.17,22029.14,203.973796,12.5000,0.9444,0.1019
"2017-11-02",117,117,23825.63,23825.62,203.637863,12.3761,0.9487,0.1368
"2017-11-03",138,137,26036.15,26036.08,188.667754,12.2681,0.9493,0.1159
